65,Roksana,Penar,+48806241523
66,Igor,Sajda,+48935221104
67,Nikodem,Łabuś,+48269949346
68,Marcelina,Łaciak,+48610099275
69,Aurelia,Wojciech,+48821595989
70,Agnieszka,Tabak,+48611741305
71,Paweł,Nieroda,+48210151509
72,Bartek,Zieniewicz,+48537196135
73,Bruno,Durys,+48731543232
74,Tadeusz,Żołądź,+48379771139
75,Bianka,Koterba,+48370077967
76,Tymon,Matyka,+48612975135
77,Robert,Pyszczek,+48620224441
78,Radosław,Nowotny,+48348884613
79,Wiktor,Roter,+48406276296
80,Mieszko,Działo,+48733732557
81,Mariusz,Rubaj,+48577439285
82,Piotr,Prokopiak,+48232189160
83,Kornel,Błaszyk,+48829401509
84,Michał,Pracz,+48341677104
85,Konrad,Lemanowicz,+48625752469
86,Roksana,Saczuk,+48104794281
87,Antoni,Zębik,+48144119474
88,Ryszard,Bitner,+48271640247
89,Alex,Kroczak,+48372372655
90,Cezary,Kopczyk,+48646242376
91,Ewelina,Ankiewicz,+48590824830
92,Aleksander,Wochnik,+48773113778
93,Natasza,Siejak,+48454470430
94,Sandra,Kubek,+48509931065
95,Alex,Bronka,+48320620105
96,Anna Maria,Bochnia,+48162982846
97,Marianna,Hrabia,+48541501866
98,Robert,Kielczyk,+48472530307
99,Nicole,Spadło,+48851066116
100,Ksawery,Dziewit,+48796713539
101,Adrianna,Olewniczak,+48659526248
102,Bianka,Plona,+48925555968
103,Apolonia,Matyjaszek,+48868837811
104,Borys,Prystupa,+48642020600
105,Marcin,Wacławczyk,+48556088721
106,Klara,Wyrostek,+48861551118
107,Paweł,Walo,+48695069034
108,Maciej,Rubin,+48968384598
109,Norbert,Feluś,+48894566654
110,Sandra,Maligłówka,+48873507849
111,Tobiasz,Perka,+48866839857
112,Damian,Pik,+48377120669
113,Cezary,Pawliczak,+48597992833
114,Alan,Nitek,+48765090061
115,Ernest,Drewniok,+48323025898
116,Tymoteusz,Radko,+48317098873
117,Radosław,Łasica,+48589306285
118,Blanka,Staniewicz,+48216964916
119,Ewelina,Czura,+48585617063
120,Sebastian,Bodzak,+48773167298
121,Patryk,Twardosz,+48425668864
122,Nicole,Pietrusiewicz,+48599027394
123,Piotr,Pasieczna,+48439664384
124,Ewelina,Suszko,+48489475375
125,Dagmara,Golan,+48130660460
126,Marcelina,Semenowicz,+48666894573
127,Lidia,Giedrojć,+48145647826
128,Urszula,Szok,+48462700092
129,Oskar,Rajczak,+48591790692
130,Karol,Pieczarka,+48997919683
131,Marcin,Mieszała,+48389839861
132,Mieszko,Filas,+48748884802
133,Olgierd,Podgórny,+48719615765
134,Witold,Błażejak,+48902827643
135,Olaf,Suszko,+48168303228
136,Ignacy,Kruś,+48981738212
137,Radosław,Bylina,+48167654390
138,Paweł,Dumała,+48173707004
139,Jędrzej,Pabis,+48880632400
140,Stanisław,Greszta,+48767138593
141,Anna Maria,Pawlaczek,+48650814217
142,Maurycy,Prasek,+48675583319
143,Elżbieta,Bystroń,+48229865269
144,Natasza,Wygoda,+48331522175
145,Sandra,Draus,+48307866481
146,Sandra,Hałat,+48967547344
147,Kamila,Dybał,+48771188978
148,Arkadiusz,Szyma,+48643543194
149,Melania,Oczkowicz,+48971750115
150,Paweł,Wiewiórka,+48622130422
